pid,name,party,district,status,wiki_url,tw（現在）,hp（現在）,X（入力）,個人HP（入力）
P001,逢沢 一郎,自民党,岡山1,現職,https://ja.wikipedia.org/wiki/%E9%80%A2%E6%B2%A2%E4%B8%80%E9%83%8E,https://x.com/ichiroaisawa,,,
P002,青木 ひとみ,参政党,比例・北関東,現職,https://ja.wikipedia.org/wiki/青木ひとみ,,,,
P003,青柳 仁士,日本維新の会,大阪14,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E6%9F%B3%E4%BB%81%E5%A3%AB,https://x.com/aoyagi_h,,,
P004,青山 繁晴,自民党,兵庫8,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E5%B1%B1%E7%B9%81%E6%99%B4,https://x.com/aoyamashigeharu,,,
P005,青山 周平,自民党,愛知12,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E5%B1%B1%E5%91%A8%E5%B9%B3_(%E6%94%BF%E6%B2%BB%E5%AE%B6),https://x.com/ao_shu_office,,,
P006,赤澤 亮正,自民党,鳥取2,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E6%B2%A2%E4%BA%AE%E6%AD%A3,https://x.com/ryosei_akazawa,,,
P007,赤羽 一嘉,中道改革連合,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E7%BE%BD%E4%B8%80%E5%98%89,https://x.com/AKBhyogo2ku,,,
P008,あかま 二郎,自民党,神奈川14,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E9%96%93%E4%BA%8C%E9%83%8E,https://x.com/tayosei_hosetsu,,,
P009,秋葉 賢也,自民党,比例・東北,現職,https://ja.wikipedia.org/wiki/%E7%A7%8B%E8%91%89%E8%B3%A2%E4%B9%9F,https://x.com/akibakenya,,,
P010,浅田 眞澄美,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/浅田眞澄美,,,,
P011,浅野 哲,国民民主党,茨城5,現職,https://ja.wikipedia.org/wiki/%E6%B5%85%E9%87%8E%E5%93%B2,https://x.com/asano__satoshi,,,
P012,東 国幹,自民党,北海道6,現職,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%9B%BD%E5%B9%B9,https://x.com/azuma0217,,,
P013,東 徹,日本維新の会,大阪3,現職,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%BE%B9_(%E6%94%BF%E6%B2%BB%E5%AE%B6),https://x.com/toru_azuma,,,
P014,畦元 将吾,自民党,東京6,現職,https://ja.wikipedia.org/wiki/%E7%95%A6%E5%85%83%E5%B0%86%E5%90%BE,,,,
P015,麻生 太郎,自民党,福岡8,現職,https://ja.wikipedia.org/wiki/%E9%BA%BB%E7%94%9F%E5%A4%AA%E9%83%8E,https://x.com/Aso_Tarou,,,
P016,阿部 圭史,日本維新の会,兵庫2,現職,https://ja.wikipedia.org/wiki/阿部圭史,,,,
P017,阿部 司,日本維新の会,比例・東京,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E5%8F%B8,https://x.com/abe2kasa,,,
P018,あべ 俊子,自民党,比例・中国,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E4%BF%8A%E5%AD%90,https://x.com/abetoshiko,,,
P019,阿部 弘樹,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E5%BC%98%E6%A8%B9,https://x.com/HirokiAbe1961,,,
P020,有田 芳生,中道改革連合,比例・東北,現職,https://ja.wikipedia.org/wiki/%E6%9C%89%E7%94%B0%E8%8A%B3%E7%94%9F,https://x.com/aritayoshifu,,,
P021,安藤 たかお,自民党,東京28,現職,https://share.google/VFlanEmTZbCTfw51U,https://x.com/AndoTakao1959,,,
P022,飯泉 嘉門,国民民主党,比例・四国,現職,https://ja.wikipedia.org/wiki/%E9%A3%AF%E6%B3%89%E5%98%89%E9%96%80,https://x.com/iizumik_comeon,,,
P023,五十嵐 清,自民党,栃木2,現職,https://share.google/yM9yw6pUVPliR5LwR,https://x.com/igakiyo1969,,,
P024,池下 卓,日本維新の会,大阪10,現職,https://share.google/X1Nen5V2auVR8PIjp,https://x.com/iketaku_0410,,,
P025,池畑 浩太朗,日本維新の会,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%95%91%E6%B5%A9%E5%A4%AA%E6%9C%97,https://x.com/VGZ20ydBf5ouj4c,,,
P026,伊佐 進一,中道改革連合,比例・近畿,現職,https://share.google/jjYP0v8IfTBsrtkLl,https://x.com/isashinichi,,,
P027,石井 啓一,無所属,比例・北関東,現職,https://share.google/JNaaID3EvC2wayQlg,https://x.com/keiichi_ishii_,,,
P028,石井 拓,自民党,愛知13,現職,https://share.google/fbVvhv1TjFfq7Uyq4,https://x.com/takuishii,,,
P029,石川 昭政,自民党,比例・北関東,現職,https://share.google/9pxuKh2X47lo8PvWT,https://x.com/iakimasa1,,,
P030,石川 勝,参政党,比例・近畿,現職,https://ja.wikipedia.org/wiki/石川勝,,,,
P031,石坂 太,自民党,栃木4,現職,https://ja.wikipedia.org/wiki/石坂太,,,,
P032,石田 真敏,自民党,比例・近畿,現職,https://share.google/whsaM5Qug8XeBVcVS,https://x.com/ishidamasatoshi,,,
P033,石破 茂,自民党,鳥取1,現職,https://share.google/edVZW03Nr4n7VgT63,https://x.com/shigeruishiba,,,
P035,石原 宏高,自民党,東京3,現職,https://share.google/LirvVYD5F07QU3RtF,https://x.com/ishiharahirotak,,,
P037,泉 健太,中道改革連合,京都3,現職,https://share.google/INsn5euLC8DMERRie,https://x.com/izmkenta,,,
