pid,name,party,district,status,wiki_url,tw
P005,青山 周平,自民党,愛知12,現職,,
P009,秋葉 賢也,自民党,比例・東北,現職,,
P012,東 国幹,自民党,北海道6,現職,,
P013,東 徹,日本維新の会,大阪3,現職,,
P014,畦元 将吾,自民党,東京6,現職,,
P015,麻生 太郎,自民党,福岡8,現職,,
P017,阿部 司,日本維新の会,比例・東京,現職,,
P018,あべ 俊子,自民党,比例・中国,現職,,
P019,阿部 弘樹,自民党,比例・九州,現職,,
P020,有田 芳生,中道改革連合,比例・東北,現職,,
P021,安藤 たかお,自民党,東京28,現職,,
P022,飯泉 嘉門,国民民主党,比例・四国,現職,,
P023,五十嵐 清,自民党,栃木2,現職,,
P024,池下 卓,日本維新の会,大阪10,現職,,
P025,池畑 浩太朗,日本維新の会,比例・近畿,現職,,
P026,伊佐 進一,中道改革連合,比例・近畿,現職,,
P027,石井 啓一,無所属,比例・北関東,現職,,
P028,石井 拓,自民党,愛知13,現職,,
P029,石川 昭政,自民党,比例・北関東,現職,,
P032,石田 真敏,自民党,比例・近畿,現職,,
P033,石破 茂,自民党,鳥取1,現職,,
P035,石原 宏高,自民党,東京3,現職,,
P037,泉 健太,中道改革連合,京都3,現職,,
P039,市村 浩一郎,日本維新の会,比例・近畿,現職,,
P040,井出 庸生,自民党,長野3,現職,,
P044,伊藤 信太郎,自民党,比例・東北,現職,,
P045,伊藤 忠彦,自民党,愛知8,現職,,
P046,伊藤 達也,自民党,東京22,現職,,
P047,伊東 信久,日本維新の会,比例・近畿,現職,,
P048,伊東 良孝,自民党,比例・北海道,現職,,
P049,稲田 朋美,自民党,福井1,現職,,
P052,井野 俊郎,自民党,群馬2,現職,,
P053,井上 信治,自民党,東京25,現職,,
P054,井上 貴博,自民党,福岡1,現職,,
P055,井上 英孝,日本維新の会,大阪1,現職,,
P056,井林 辰憲,自民党,静岡2,現職,,
P057,井原 巧,自民党,愛媛2,現職,,
P059,今枝 宗一郎,自民党,愛知14,現職,,
P062,岩田 和親,自民党,佐賀1,現職,,
P063,岩谷 良平,日本維新の会,大阪13,現職,,
P064,岩屋 毅,自民党,大分3,現職,,
P065,上杉 謙太郎,自民党,福島3,現職,,
P076,うるま 譲司,日本維新の会,大阪8,現職,,
P077,江渡 聡徳,自民党,比例・東北,現職,,
P078,江藤 拓,自民党,比例・九州,現職,,
P080,英利アルフィヤ,自民党,千葉5,現職,,
P081,遠藤 敬,日本維新の会,大阪18,現職,,
P082,遠藤 寛明,自民党,山形1,現職,,
P083,大岡 敏孝,自民党,滋賀1,現職,,
P084,大串 正樹,自民党,兵庫6,現職,,
P086,大空 幸星,自民党,東京15,現職,,
P087,大塚 拓,自民党,埼玉9,現職,,
P089,大野 敬太郎,自民党,香川3,現職,,
P091,緒方 林太郎,無所属,福岡9,現職,,
P093,岡本 三成,中道改革連合,比例・東京,現職,,
P095,小川 淳也,中道改革連合,香川1,現職,,
P096,奥下 剛光,日本維新の会,大阪7,現職,,
P103,鬼木 誠,自民党,福岡2,現職,,
P104,小野寺 五典,自民党,宮城5,現職,,
P106,小渕 優子,自民党,群馬5,現職,,
P107,尾身 朝子,自民党,比例・北関東,現職,,
P108,河西 宏一,中道改革連合,比例・東京,現職,,
P110,梶山 弘志,自民党,茨城4,現職,,
P111,柏倉 祐司,日本維新の会,比例・北関東,現職,,
P112,勝俣 孝明,自民党,静岡6,現職,,
P113,勝目 康,自民党,京都1,現職,,
P115,加藤 鮎子,自民党,山形3,現職,,
P116,加藤 勝信,自民党,岡山3,現職,,
P119,加藤 竜祥,自民党,長崎2,現職,,
P120,門山 宏哲,自民党,千葉1,現職,,
P122,金子 恵美,中道改革連合,比例・東北,現職,,
P123,金子 恭之,自民党,熊本4,現職,,
P125,金村 龍那,日本維新の会,比例・南関東,現職,,
P126,上川 陽子,自民党,静岡1,現職,,
P127,神谷 裕,中道改革連合,北海道10,現職,,
P131,川崎 ひでと,自民党,三重2,現職,,
P132,河野 正美,自民党,比例・九州,現職,,
P135,河村 たかし,無所属,愛知1,現職,,
P136,菅家 一郎,自民党,比例・東北,現職,,
P137,神田 潤一,自民党,青森2,現職,,
P138,城内 実,自民党,静岡7,現職,,
P139,黄川田 仁志,自民党,埼玉3,現職,,
P140,菊田 真紀子,中道改革連合,比例・北陸信越,現職,,
P142,岸田 文雄,自民党,広島1,現職,,
P144,北神 圭朗,自民党,京都4,現職,,
P146,木原 誠二,自民党,東京20,現職,,
P147,木原 稔,自民党,熊本1,現職,,
P148,木村 次郎,自民党,青森3,現職,,
P151,工藤 彰三,自民党,愛知4,現職,,
P153,国定 勇人,自民党,新潟2,現職,,
P154,國重 徹,中道改革連合,比例・近畿,現職,,
P155,国光 あやの,自民党,茨城6,現職,,
P156,熊田 裕通,自民党,比例・東海,現職,,
P161,小泉 進次郎,自民党,神奈川11,現職,,
P162,小泉 龍司,自民党,埼玉11,現職,,
P163,河野 太郎,自民党,神奈川15,現職,,
P164,高村 正大,自民党,山口1,現職,,
P166,古賀 篤,自民党,福岡3,現職,,
P167,國場 幸之助,自民党,沖縄1,現職,,
P168,輿水 恵一,中道改革連合,比例・北関東,現職,,
P169,小寺 裕雄,自民党,比例・近畿,現職,,
